GLOB SHIP ID,GZM SHIP IDS,BGB SHIPVOYAGES
2622,,12808;17171;19501
2623,,11734
2624,,8854
2625,,10541
2626,,19931
2627,,16437;16971
2628,,10526
2629,,14795
2630,,19489;19502
2631,,19226;19498
2632,,5800
2633,,13635
2634,,18069
2635,,14149
2636,,6981
2637,,18643
2638,,13467
2639,,19611
2640,,5983
2641,,7877
2642,,18054;19604
2643,,19225
2644,,8768
2645,,12011;13999;14009
2646,,13154
2647,,13638
2648,,10537
2649,,15960
2650,,16961
2651,,19218
2652,,993
2653,,14268
2654,,13631
2655,,13473
2656,,12284
2657,,19943
2658,,20060
2659,,19220
2660,,10540;16968
2661,,19613
2662,,13471
2663,,14785
2664,,15579
2665,,19495
2666,,14798
2667,,19946
2668,,18547
2669,,18541
2670,,18548
2671,,13636
2672,,18067
2673,,19953
2674,,19944
2675,,9302;10034
2676,,19586;15224;15379;16384;16768;16796;17489;18043;19468;19893
2677,,15230;15629;15630;16206;16766;17487;17493;17534;18052;18071
2678,5290,
2679,,1183;1185;1229;1299;2264;2393;2403;2525
2680,,1315
2681,2998;3408,12341;12595;19687;19838;19839
2682,625;661;717;1073;1198;1294;1386;1499,
2683,484,
2684,4904,
2685,,2564
2686,,2431
2687,,8020
2688,1370,
2689,,20157
2690,361,
2691,1699;1766;1857;1989;2061;2157;2264;2356;2366;2482;2673,
2692,1027;1144;1270;1357;1441;1547;1553;1648;1756;1845;1972;2071;2147;2275;2396,17177
2693,,2371
2694,1801;1878;2097;2166;2270;2353,19934
2695,3231,
2696,,15180;15181
2697,,2147
2698,,1406;1763
2699,,5820
2700,,4951
2701,1480,
2702,42;92;211,
2703,372,
2704,347;416-3;503-3;577-3;704;827;914-3,
2705,3332,
2706,338;985;1365;1546,
2707,348;498;574;701,
2708,,1112;1127;1367;1371;1373;1717;1718;1992;1994;2127;2130;3347;3349;2465;2470;2474;2481;2642;2644;2843;2849;3060;3063;3064;3114;3120;3126;3174;4930;5122;9078;9083;9086;9363;9374;20198
2709,4743,3412;3944;4470;4471;4879
2710,1649;1755;1846;1975;2070;2149;2277;2398,18758
2711,,1388;1381;1416;2376;2395;3270;3272;3288;5874;6875;7317;7674;20159;20162;20163
2712,,10685
2713,5217,
2714,206;258;363;428;522;594;691;866;994;1149;1247;1336,
2715,3637;3788;3816;3880,7598;7627;7793;10878;10907;11172;11375;11527;11539;11697;11888
2716,,3955
2717,3171;3519;3633;3682,12762
2718,,2205;2206;2207
2719,3185,7797;11500;19829
2720,3529;3597,
2721,561-2;797;886,
2722,,9922;10476;14640;14663;14699;14701;14703;14744;14750;15376;15500;16717;16800;16838;18367
2723,,8158;13543
2724,3416;3494,
2725,,7837;8300;8380;9198;10273;10693
2726,,3315
2727,,18526
2728,,2283
2729,,2335
2730,,20150
2731,,1430
2732,,1419;1420;5130
2733,,4362
2734,,2563
2735,,893;897
2736,2676;2720;2836;2873;2949;2985,13843;13867;15157;15215;15939;15941;18662;19079;19207;19345;19595;19826
2737,3838,11509;14583;18916
2738,1301;1396;1470;1566;1659;1763;1866;2008;2056;2186;2283,
2739,,2050
2740,,4991
2741,301;330;527;816;937;1020;1166,
2742,,13103;13107;13430;18270
2743,1448;1551;1646;1751;1843;1977,
2744,,2134
2745,,255
2746,5292,
2747,,9621
2748,,813;989;1012;1207;1365;1959;1983;2800;2810;3019;3404;3415;9029;9066
2749,2459;2542,17157;17766;18058;18059;19603;19608
2750,,11721;11733;13703
2751,,13260
2752,1942;2753,
2753,,13159;15814;17149;17206;17713;17841;19426;19519;19710;19855
2754,5059,
2755,,8725
2756,,15002
2757,,20235
2758,,2579
2759,,1095
2760,,15065
2761,,1761
2762,,19289
2763,,19286
2764,,15183
2765,,20259
2766,,6376
2767,,8642
2768,,19310
2769,,20257
2770,,20260
2771,,1300;1385
2772,,1303
2773,,926;1104;1253;1936;3128;3907;3909;3912
2774,,442;445;630;1270;1392
2775,,364
